[05Jan2024 13:09:03.669] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, Uncle_Oldman, --version, 1.20.1-forge-47.1.84, --gameDir, C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c, --assetsDir, C:\Users\Danatang\AppData\Local\.ftba\bin\assets, --assetIndex, 5, --uuid, 4d68e9eb-7034-495b-9ecd-d94bd99dcce9, --accessToken, ????????, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, release, --width, 1720, --height, 840, --launchTarget, forgeclient, --fml.forgeVersion, 47.1.84, --fml.fmlVersion, 47.1.47, --fml.mcVersion, 1.20.1, --fml.mcpVersion, 20230612.114412]
[05Jan2024 13:09:03.675] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.7 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[05Jan2024 13:09:06.420] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[05Jan2024 13:09:06.651] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[05Jan2024 13:09:06.922] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[05Jan2024 13:09:07.051] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Danatang/AppData/Local/.ftba/bin/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23102!/ Service=ModLauncher Env=CLIENT
[05Jan2024 13:09:07.142] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce GTX 1050 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 536.23, NVIDIA Corporation
[05Jan2024 13:09:08.488] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "accelerated-decay-forge-3.0.1+mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Ad-Astra-Giselle-Addon-forge-1.20.1-5.8.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ad_astra-forge-1.20.1-1.15.5.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AdvancedPeripherals-1.20.1-0.7.35b.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "advgenerators-1.6.0.6-mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AE2-Things-1.2.1.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ae2wtlib-15.2.1-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aether-1.20.1-1.0.0-neoforge.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aether_enhanced_extinguishing-1.20.1-1.0.0-neoforge.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
[05Jan2024 13:09:08.489] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Aethersteel-v4.9-1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Danatang\AppData\Local\.ftba\instances\3b3957c4-ca89-4fd9-b219-029606dd102c\mods}
